hour,time_label,spot_price_dkk_kwh,co2_emission_g_kwh,gross_demand_mwh,renewable_gen_mwh,net_load_mwh,renewable_share,feeder_gross_load_kw,feeder_net_load_kw,data_source,price_area,combined_signal_score,ev_dispatch_price_only_kw,feeder_load_price_only_kw,feeder_overload_price_only_kw,ev_dispatch_co_optimized_kw,feeder_load_co_optimized_kw,feeder_overload_co_optimized_kw,user_plug_in_hour,user_departure_hour,user_energy_target_kwh,feeder_transformer_cap_kw,feeder_n_evs
10,10:00,1.1420,148.4167,2592.3014,2526.7416,65.5598,0.9747,183.4098,156.3530,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4333,0.0000,156.3530,0.0000,0.0000,156.3530,0.0000,18,7,44.0000,450.0000,20
11,11:00,1.0687,155.6667,2501.1192,1966.6136,534.5056,0.7863,171.6988,163.1637,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4922,0.0000,163.1637,0.0000,0.0000,163.1637,0.0000,18,7,44.0000,450.0000,20
12,12:00,1.0173,138.7500,2439.9659,1615.0820,824.8839,0.6619,163.8446,162.4904,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4557,0.0000,162.4904,0.0000,0.0000,162.4904,0.0000,18,7,44.0000,450.0000,20
13,13:00,0.9644,96.6667,2352.8467,1465.8779,886.9688,0.6230,152.6554,148.5769,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.2991,0.0000,148.5769,0.0000,0.0000,148.5769,0.0000,18,7,44.0000,450.0000,20
14,14:00,0.9559,86.1667,2217.2685,1477.4873,739.7812,0.6664,135.2424,131.1066,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.2359,0.0000,131.1066,0.0000,0.0000,131.1066,0.0000,18,7,44.0000,450.0000,20
15,15:00,0.9799,92.4167,2191.5747,1497.4453,694.1294,0.6833,131.9425,131.6660,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.2624,0.0000,131.6660,0.0000,0.0000,131.6660,0.0000,18,7,44.0000,450.0000,20
16,16:00,1.0359,136.0000,2146.3965,1457.8612,688.5352,0.6792,126.1400,126.0422,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4350,0.0000,126.0422,0.0000,0.0000,126.0422,0.0000,18,7,44.0000,450.0000,20
17,17:00,1.1499,131.4167,2157.5267,1684.0261,473.5006,0.7805,127.5695,127.4600,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4501,0.0000,127.4600,0.0000,0.0000,127.4600,0.0000,18,7,44.0000,450.0000,20
18,18:00,1.3735,89.5833,2146.6862,1932.6093,214.0769,0.9003,126.1772,126.0256,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4000,0.0000,126.0256,0.0000,11.0000,346.0256,0.0000,18,7,44.0000,450.0000,20
19,19:00,1.5524,88.4167,2098.5903,2000.8671,97.7232,0.9534,120.0000,120.0000,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.4797,0.0000,120.0000,0.0000,11.0000,340.0000,0.0000,18,7,44.0000,450.0000,20
20,20:00,1.5653,112.1667,2125.3128,1679.6270,445.6858,0.7903,123.4321,123.3889,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.6216,0.0000,123.3889,0.0000,0.0000,123.3889,0.0000,18,7,44.0000,450.0000,20
21,21:00,1.5409,155.5833,2403.9900,1457.3210,946.6690,0.6062,159.2240,156.6095,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.8312,0.0000,156.6095,0.0000,0.0000,156.6095,0.0000,18,7,44.0000,450.0000,20
22,22:00,1.4884,153.3333,2746.2498,1406.2657,1339.9842,0.5121,203.1822,186.3252,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.8587,0.0000,186.3252,0.0000,0.0000,186.3252,0.0000,18,7,44.0000,450.0000,20
23,23:00,1.3946,138.5000,2976.3732,1806.3484,1170.0248,0.6069,232.7381,183.0216,LIVE_ENERGI_DATA_SERVICE_API,DK1,0.7286,0.0000,183.0216,0.0000,0.0000,183.0216,0.0000,18,7,44.0000,450.0000,20
0,00:00,1.3203,62.7500,1623.3809,900.4746,722.9063,0.5547,252.4325,167.9881,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.2355,0.0000,167.9881,0.0000,11.0000,387.9881,0.0000,18,7,44.0000,450.0000,20
1,01:00,1.1782,65.9167,1907.5772,940.4163,967.1609,0.4930,329.1408,228.8854,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.2893,11.0000,448.8854,0.0000,11.0000,448.8854,0.0000,18,7,44.0000,450.0000,20
2,02:00,1.1320,77.0000,1993.8147,974.6166,1019.1981,0.4888,352.4174,246.5061,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.3144,11.0000,466.5061,16.5061,10.1747,450.0000,0.0000,18,7,44.0000,450.0000,20
3,03:00,1.1012,88.0000,2004.5208,963.9624,1040.5584,0.4809,355.3072,246.8378,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.3321,11.0000,466.8378,16.8378,10.1581,450.0000,0.0000,18,7,44.0000,450.0000,20
4,04:00,1.1139,127.6667,2021.9073,1089.2004,932.7069,0.5387,360.0000,240.0000,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.3696,11.0000,460.0000,10.0000,1.6672,273.3439,0.0000,18,7,44.0000,450.0000,20
5,05:00,1.2083,142.7500,1978.4671,933.3970,1045.0701,0.4718,348.2749,248.2007,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.5160,0.0000,248.2007,0.0000,0.0000,248.2007,0.0000,18,7,44.0000,450.0000,20
6,06:00,1.3769,164.6667,1907.4537,881.2201,1026.2336,0.4620,329.1075,232.3955,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.6510,0.0000,232.3955,0.0000,0.0000,232.3955,0.0000,18,7,44.0000,450.0000,20
7,07:00,1.4440,172.3333,1844.5065,991.5499,852.9565,0.5376,312.1172,211.9677,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.6153,0.0000,211.9677,0.0000,0.0000,211.9677,0.0000,18,7,44.0000,450.0000,20
8,08:00,1.4269,174.0833,1771.5849,1086.9527,684.6321,0.6135,292.4347,213.0752,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.5208,0.0000,213.0752,0.0000,0.0000,213.0752,0.0000,18,7,44.0000,450.0000,20
9,09:00,1.2734,160.4167,1710.3050,687.7237,1022.5813,0.4021,275.8945,234.8522,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.5803,0.0000,234.8522,0.0000,0.0000,234.8522,0.0000,18,7,44.0000,450.0000,20
10,10:00,1.1365,117.5000,1613.1268,399.2668,1213.8600,0.2475,249.6648,232.5110,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.5081,0.0000,232.5110,0.0000,0.0000,232.5110,0.0000,18,7,44.0000,450.0000,20
11,11:00,1.0687,103.3333,1564.8350,329.8651,1234.9699,0.2108,236.6302,232.5201,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.4492,0.0000,232.5201,0.0000,0.0000,232.5201,0.0000,18,7,44.0000,450.0000,20
12,12:00,1.0175,105.6667,1532.3362,476.5755,1055.7606,0.3110,227.8583,227.2840,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.3307,0.0000,227.2840,0.0000,0.0000,227.2840,0.0000,18,7,44.0000,450.0000,20
13,13:00,0.9590,104.0000,1427.2797,519.6020,907.6777,0.3641,199.5022,199.2689,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.2156,0.0000,199.2689,0.0000,0.0000,199.2689,0.0000,18,7,44.0000,450.0000,20
14,14:00,0.9554,97.6667,1299.5140,392.1194,907.3946,0.3017,165.0165,164.8576,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.1995,0.0000,164.8576,0.0000,0.0000,164.8576,0.0000,18,7,44.0000,450.0000,20
15,15:00,0.9795,87.6667,1341.1799,538.0412,803.1387,0.4012,176.2627,176.2407,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.1367,0.0000,176.2407,0.0000,0.0000,176.2407,0.0000,18,7,44.0000,450.0000,20
16,16:00,1.0364,77.5000,1246.9427,445.4779,801.4648,0.3573,150.8269,150.8269,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.1461,0.0000,150.8269,0.0000,0.0000,150.8269,0.0000,18,7,44.0000,450.0000,20
17,17:00,1.1515,101.5000,1211.1031,286.6339,924.4692,0.2367,141.1533,141.1306,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.3295,0.0000,141.1306,0.0000,0.0000,141.1306,0.0000,18,7,44.0000,450.0000,20
18,18:00,1.3721,108.7500,1159.0878,270.5874,888.5004,0.2334,127.1137,126.9225,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.4532,0.0000,126.9225,0.0000,0.0000,126.9225,0.0000,18,7,44.0000,450.0000,20
19,19:00,1.5553,60.0833,1132.7324,335.9307,796.8017,0.2966,120.0000,119.9896,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.4035,0.0000,119.9896,0.0000,0.0000,119.9896,0.0000,18,7,44.0000,450.0000,20
20,20:00,1.5649,77.0000,1173.4913,412.2187,761.2727,0.3513,131.0014,130.9034,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.4274,0.0000,130.9034,0.0000,0.0000,130.9034,0.0000,18,7,44.0000,450.0000,20
21,21:00,1.5410,91.3333,1339.8637,274.7787,1065.0851,0.2051,175.9075,172.3664,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.6048,0.0000,172.3664,0.0000,0.0000,172.3664,0.0000,18,7,44.0000,450.0000,20
22,22:00,1.4884,88.2500,1572.9794,247.0884,1325.8910,0.1571,238.8285,228.5304,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.7049,0.0000,228.5304,0.0000,0.0000,228.5304,0.0000,18,7,44.0000,450.0000,20
23,23:00,1.3946,70.5000,1748.1771,302.5516,1445.6255,0.1731,286.1166,273.0000,LIVE_ENERGI_DATA_SERVICE_API,DK2,0.6751,0.0000,273.0000,0.0000,0.0000,273.0000,0.0000,18,7,44.0000,450.0000,20
